Crop,Quantity_Kg,Price_INR
Strawberry,62,4099
Banana,50,5895
Barley,22,7693
Apple,64,2626
Pineapple,78,2694
Soybean,73,3085
Rice,56,3191
Orange,32,7003
Wheat,46,6297
Grapes,41,7745
Potato,58,7601
Cotton,70,8080
Strawberry,35,8419
Barley,66,3796
Pineapple,49,6274
Apple,89,5578
Rice,29,6597
Grapes,38,4450
Orange,86,5897
Banana,72,3249
Wheat,31,4285
Wheat,49,3849
Wheat,32,3054
Wheat,60,4503
Wheat,51,2827
Wheat,33,2557
Corn,20,2433
Corn,53,4474
Corn,49,3588
Corn,48,4100
Corn,20,5591
Corn,52,2068
Rice,58,2105
Rice,60,2833
Rice,41,5924
Rice,23,5566
Rice,46,2918
Rice,26,3110
Soybean,26,2944
Soybean,46,4909
Soybean,48,2720
Soybean,37,5464
Soybean,25,4331
Soybean,59,5433
Cotton,44,4203
Cotton,50,3107
Cotton,59,5778
Cotton,54,2192
Cotton,47,5085
Cotton,22,5679
Barley,40,2579
Barley,57,4803
Barley,54,3818
Barley,21,4047
Barley,32,4084
Barley,24,5883
Potato,21,3996
Potato,45,4690
Potato,53,5232
Potato,32,4888
Potato,56,3824
Potato,48,5977
Apple,39,2377
Apple,31,2085
Apple,35,2883
Apple,39,3929
Orange,52,2733
Orange,45,5792
Orange,52,2714
Orange,20,3197
Orange,58,3242
Orange,23,4951
Grapes,41,4368
Grapes,25,2056
Grapes,39,2420
Grapes,21,2507
Grapes,58,5514
Grapes,51,4324
Strawberry,41,3170
Strawberry,54,2038
Strawberry,32,4442
Strawberry,29,2075
Strawberry,56,2749
Strawberry,52,2698
Banana,28,5422
Banana,56,3291
Banana,22,3286
Banana,49,2553
Mango,46,5332
Mango,55,5159
Mango,25,3954
Mango,52,2584
Pineapple,38,4436
Pineapple,58,4479
Rice,41,4830
Apple,28,3737
Corn,21,5306
Potato,28,5382
Grapes,28,5037
Strawberry,49,2286
Potato,40,2055
Barley,23,2311
Orange,43,3436
Banana,26,5561
Rice,20,2235
Soybean,28,4116
Strawberry,53,3388
Cotton,27,5951
Strawberry,42,3630
Strawberry,49,3483
Mango,39,4684
Rice,51,4855
Corn,54,4357
Grapes,35,2731
Apple,21,2264
Potato,21,2529
Strawberry,22,2492
Grapes,20,3440
Grapes,45,3754
Potato,51,3961
Soybean,21,2401
Apple,57,2869
Grapes,57,5067
Soybean,57,4575
Barley,31,2183
Wheat,38,2824
Strawberry,47,5946
Orange,54,5159
Grapes,23,5387
Banana,51,4115
Orange,35,2767
Corn,51,3305
Pineapple,20,3194
Wheat,59,2789
Potato,34,3709
Rice,49,2056
Orange,41,2816
Potato,27,3651
Mango,29,4516
Corn,29,2608
Orange,55,3880
Wheat,21,5308
Wheat,57,5868
Cotton,39,4601
Apple,28,5109
Mango,39,5171
Barley,46,2594
Cotton,54,2674
Pineapple,30,5340
Wheat,20,5993
Banana,44,4019
Banana,44,5695
Rice,39,5385
Pineapple,23,5892
Cotton,22,4340
Apple,48,3398
Strawberry,47,4418
Corn,40,2831
Barley,38,3012
Cotton,41,4621
Grapes,58,5178
Corn,41,2074
Barley,56,2317
Mango,25,5795
Potato,46,5284
Orange,40,5284
Orange,20,3845
Pineapple,39,2454
Corn,29,5446
Rice,58,2176
Potato,44,2330
Potato,39,3959
Cotton,50,4035
Potato,44,3380
Soybean,46,4595
Pineapple,47,2106
Rice,41,3592
Grapes,31,5394
Strawberry,52,4704
Cotton,26,2549
Wheat,58,2784
Soybean,49,2113
Strawberry,31,4198
Banana,32,3983
Barley,44,5335
Rice,22,5180
Orange,48,3300
Strawberry,57,4027
Corn,52,3258
Cotton,21,2462
Pineapple,46,4765
Wheat,29,3292
Soybean,39,3975
Mango,38,5525
Potato,46,5164
Grapes,47,2409
Banana,54,3000
Strawberry,29,2612
Apple,55,3148
Orange,60,5285
Cotton,41,3482
Pineapple,36,3085
Mango,20,2037
Barley,27,4850
Soybean,41,5164
Rice,53,4389
Potato,27,5197
Orange,50,5265
Banana,55,2012
Strawberry,45,5307
Grapes,58,4793
Wheat,27,2245
Cotton,24,3189
Pineapple,50,2966
Mango,30,4877
Apple,55,4092
Corn,35,2334
Soybean,46,4735
Barley,51,5394
Orange,25,5364
Strawberry,37,4514
Banana,44,3431
Grapes,49,5115
Potato,50,4628
Cotton,50,2990
Rice,45,4422
Apple,46,3051
Wheat,49,5568
Mango,56,2259
Pineapple,33,4973
Corn,59,3059
Soybean,59,5924
Strawberry,54,3456
Grapes,60,4234
Orange,35,2932
Barley,36,4935
Potato,36,5403
Cotton,55,2117
Banana,39,5524
Wheat,20,5304
Pineapple,60,4235
Strawberry,45,3536
Rice,46,3424
Soybean,39,3210
Mango,44,2244
Orange,22,4875
Cotton,46,4279
Barley,38,3790
Potato,58,2448
Apple,60,5516
Grapes,59,4227
Strawberry,51,2994
Corn,43,2978
Banana,49,4737
Pineapple,50,4365
Orange,23,5192
Barley,54,2864
Soybean,40,4429
Rice,39,3219
Wheat,43,3048
Mango,59,3079
Cotton,49,3676
Potato,36,4360
Apple,29,3510
Strawberry,38,2979
Orange,56,2618
Grapes,36,4191
Soybean,58,2794
Banana,37,3909
Corn,23,5543
Rice,56,3944
Barley,48,3320
Pineapple,59,2161
Strawberry,22,2485
Mango,43,5919
Barley,48,2333
Pineapple,51,5225
Strawberry,48,5316
Rice,29,5176
Banana,60,2944
Apple,53,2472
Grapes,35,4243
Orange,31,3129
Cotton,39,5835
Mango,55,3690
Soybean,30,5511
Corn,39,5063
Potato,20,4619
Barley,58,2078
Orange,56,2143
Wheat,44,4950
Strawberry,31,2132
Apple,38,2078
Pineapple,37,2451
Mango,31,3167
Cotton,52,3040
Banana,42,5134
Barley,45,4336
Grapes,29,4875
Strawberry,50,3087
Rice,41,3982
Corn,59,5858
Potato,49,3178
Orange,58,4062
Banana,58,2864
Soybean,35,2752
Apple,43,5297
Pineapple,56,5206
Strawberry,55,4261
Cotton,42,2123
Mango,51,4357
Barley,29,5842
Orange,40,3551
Potato,50,4235
Rice,60,4876
Apple,31,2158
Grapes,60,2779
Corn,23,2317
Soybean,39,4662
Pineapple,28,2543
Banana,57,5637
Strawberry,56,5401
Orange,47,4280
Mango,23,2500
Barley,32,4013
Cotton,21,3846
Potato,48,4757
Apple,25,5461
Grapes,39,2543
Strawberry,42,3084
Banana,53,2502
Soybean,27,3622
Rice,25,4814
Pineapple,49,3353
Wheat,29,2665
Corn,41,5742
Barley,25,2815
Orange,30,3737
Strawberry,30,2403
Mango,31,5104
Cotton,53,2976
Potato,51,5699
Apple,46,5855
Grapes,53,2229
Soybean,44,5679
Rice,37,3586
Banana,38,5601
Barley,59,2771
Corn,33,5993
Pineapple,39,3747
Strawberry,38,3136
Wheat,48,2324
Orange,48,2072
Cotton,37,4312
Mango,37,3353
Potato,42,4875
Apple,45,2006
Grapes,36,5039
Barley,52,3104
Strawberry,36,2728
Corn,27,5738
Soybean,38,4156
Pineapple,52,5190
Banana,25,3993
Rice,24,2697
Orange,41,2955
Wheat,29,3155
Grapes,44,2375
Barley,34,3947
Potato,34,2701
Cotton,34,5627
Banana,27,2557
Wheat,37,4250
Apple,60,5122
Grapes,54,2008
Soybean,58,2630
Rice,53,2046
Strawberry,51,5721
Corn,29,5060
Potato,53,2438
Orange,38,5004
Banana,25,5119
Barley,36,5349
Mango,33,5251
Apple,30,3183
Grapes,45,2499
Strawberry,59,5427
Wheat,46,4511
Cotton,31,5069
Soybean,42,2547
Rice,37,2841
Pineapple,31,2826
Orange,39,3362
Corn,39,4121
Potato,50,5962
Strawberry,20,3299
Banana,56,5531
Barley,28,2246
Apple,21,5721
Grapes,22,5866
Orange,28,3441
Wheat,46,4118
Corn,36,5198
Soybean,44,3156
Pineapple,31,5827
Banana,23,2043
Strawberry,24,2157
Potato,45,5040
Cotton,38,4711
Rice,55,5203
Apple,25,3477
Grapes,24,3107
Soybean,29,2935
Mango,60,3569
Orange,34,2919
Pineapple,30,2234
Corn,44,4565
Barley,53,4223
Wheat,45,3155
Banana,51,2037
Apple,22,3778
Grapes,54,3038
Soybean,42,4486
Orange,43,2347
Corn,22,3112
Potato,59,3450
Strawberry,51,3020
Mango,21,4128
Cotton,32,4957
Barley,26,2536
Apple,32,3226
Pineapple,58,5187
Orange,56,4469
Rice,49,4208
Grapes,59,3342
Banana,56,4855
Strawberry,58,4121
Wheat,44,5881
Corn,49,3620
Barley,35,2171
Orange,44,5088
Strawberry,28,4713
Mango,37,5150
Cotton,40,4768
Potato,54,3790
Apple,38,3521
Grapes,58,4925
Soybean,55,2049
Rice,52,2992
Banana,43,4086
Barley,30,5651
Corn,54,3018
Pineapple,53,4946
Strawberry,23,4189
Wheat,28,4582
Orange,44,4682
Cotton,51,3232
Mango,34,2229
Potato,30,4505
Strawberry,48,3137
Potato,49,3802
Apple,24,4695
Cotton,25,5685
Banana,28,2263
Wheat,60,5776
Orange,26,3858
Mango,27,2156
Barley,51,4074
Soybean,45,5003
Rice,41,5011
Strawberry,53,4853
Potato,36,2231
Corn,56,4747
Grapes,26,4682
Apple,44,3719
Orange,59,3216
Banana,39,3972
Soybean,47,5825
Rice,36,2589
Pineapple,48,2626
Barley,44,5840
Strawberry,50,2712
Cotton,24,3066
Mango,44,4164
Orange,23,5288
Corn,48,3369
Potato,26,2953
Strawberry,34,5450
Banana,52,4975
Wheat,38,3696
Barley,43,5790
Grapes,21,2011
Soybean,38,3180
Rice,47,4774
Pineapple,55,3261
Apple,55,5722
Grapes,38,4129
Orange,20,2632
Corn,54,3727
Strawberry,26,3866
Banana,47,4178
Barley,41,2626
Apple,41,5444
Pineapple,43,2388
Soybean,56,3192
Rice,52,5316
Orange,44,2860
Wheat,60,4105
Grapes,23,3350
Potato,32,3635
Cotton,27,5182
Strawberry,60,4382
Barley,45,3131
Pineapple,48,5832
Apple,31,2001
Rice,54,4415
Grapes,39,2482
Orange,39,5723
Banana,33,4212
Soybean,32,2200
Mango,29,2076
Corn,53,3561
Potato,40,4840
Strawberry,30,2742
Barley,25,2317
Orange,60,4997
Wheat,41,4031
Cotton,22,4190
Pineapple,38,2227
Mango,31,4338
Banana,46,3914
Rice,44,3328
Grapes,34,4582
Strawberry,42,2874
Apple,46,4433
Orange,27,3609
Potato,55,3420
Corn,51,2584
Soybean,22,2191
Wheat,31,3704
Pineapple,27,5500
Cotton,56,2807
Barley,28,4588
Mango,44,5004
Banana,45,5706
Strawberry,25,2847
Grapes,35,5115
Apple,47,3712
Orange,39,5463
Potato,20,5056
Corn,29,3464
Rice,28,2382
Wheat,39,5720
Soybean,27,3614
Pineapple,21,3761
Banana,31,3988
Barley,48,4750
Strawberry,48,4731
Orange,27,4409
Mango,27,5647
Cotton,48,5845
Potato,44,4306
Corn,28,2042
Grapes,32,4054
Apple,33,2196
Strawberry,23,5356
Rice,54,4937
Wheat,37,2689
Soybean,56,3871
Barley,43,5005
Orange,60,4206
Banana,50,5804
Corn,53,2186
Pineapple,31,2566
Strawberry,36,3655
Apple,22,4162
Grapes,44,4165
Potato,37,2156
Cotton,36,5149
Mango,58,4283
Soybean,45,5412
Rice,39,4989
Orange,48,3136
Banana,48,2779
Barley,30,2179
Pineapple,39,2160
Corn,34,5272
Strawberry,49,5636
Grapes,34,4199
Apple,40,3391
Wheat,34,2903
Soybean,49,5919
Potato,39,5273
Cotton,35,3021
Banana,24,4013
Strawberry,40,5502
Rice,21,5466
Apple,36,3363
Pineapple,28,2012
Orange,36,2555
Barley,46,5864
Potato,33,3429
Cotton,48,5786
Banana,44,2302
Wheat,26,4512
Pineapple,60,5014
Strawberry,43,5889
Rice,56,2722
Soybean,26,3579
Mango,25,3301
Orange,50,2664
Cotton,40,5666
Barley,27,2309
Potato,41,2130
Apple,52,2329
Grapes,28,5988
Strawberry,35,2270
Corn,22,5741
Banana,44,2848
Pineapple,51,4277
Orange,35,2153
Barley,37,3128
Soybean,58,5707
Rice,29,5056
Wheat,35,5369
Mango,57,4734
Cotton,34,5615
Potato,46,4220
Apple,23,5489
Strawberry,21,4847
Banana,58,4649
Soybean,50,3767
Mango,35,4573
Corn,47,2132
Potato,43,4253
Strawberry,30,3548
Barley,20,2984
Orange,38,3756
Wheat,23,4793
Cotton,32,2248
Pineapple,40,5398
Mango,40,5614
Banana,38,5204
Rice,56,5576
Grapes,26,4883
Strawberry,20,3931
Apple,25,3211
Orange,57,5239
Potato,36,2671
Corn,54,5096
Soybean,53,3359
Wheat,30,3561
Pineapple,50,4357
Cotton,39,4208
Barley,36,3422
Mango,29,5948
Banana,28,4957
Strawberry,30,5135
Grapes,25,2890
Apple,29,2550
Orange,27,4229
Potato,52,4013
Corn,43,2317
Rice,44,2550
Wheat,53,3274
Soybean,34,2972
Pineapple,28,5498
Banana,55,4778
Barley,52,3658
Strawberry,30,3122
Orange,21,2907
Mango,45,4391
Cotton,38,5371
Potato,52,5723
Corn,33,5288
Grapes,26,3901
Apple,34,3086
Strawberry,46,4649
Rice,48,3518
Wheat,58,5214
Soybean,42,4766
Barley,39,5988
Orange,29,3113
Banana,27,4563
Corn,26,4940
Pineapple,31,4063
Strawberry,57,5472
Apple,28,4462
Grapes,49,3159
Potato,46,4082
Cotton,44,4231
Mango,55,2858
Soybean,39,4981
Rice,32,3931
Orange,36,3505
Banana,38,5381
Barley,51,3395
Pineapple,26,2540
Corn,42,5538
Strawberry,51,2003
Grapes,52,4851
Apple,24,5801
Wheat,42,2923
Soybean,28,5410
Potato,34,5694
Cotton,43,2937
Banana,44,2854
Strawberry,54,2890
Rice,35,5960
Apple,60,2155
Pineapple,46,3473
Orange,31,2856
Barley,30,3296
Potato,27,5227
Cotton,36,3837
Banana,37,4079
Wheat,20,4363
Pineapple,22,5427
Strawberry,29,2642
Rice,28,4315
Soybean,42,2309
Mango,33,4206
Orange,60,5728
Cotton,28,2807
Barley,30,5443
Potato,24,5098
Apple,25,3331
Grapes,37,3921
Strawberry,34,4061
Corn,22,5191
Banana,47,2491
Pineapple,53,4974
Orange,56,2080
Barley,25,2637
Soybean,28,3164
Rice,51,4574
Wheat,52,5609
Mango,25,3575
Cotton,33,2465
Potato,21,3205
Apple,40,5356
Strawberry,21,3446
Wheat,29,3054
Banana,21,3529
Apple,38,3605
Grapes,58,3663
Soybean,47,2973
Orange,27,2221
Corn,37,5737
Potato,22,2296
Strawberry,31,2182
Mango,24,2785
Cotton,31,4122
Barley,31,2437
Apple,55,5695
Pineapple,44,2578
Orange,51,4140
Rice,30,4031
Grapes,55,4472
Banana,24,5533
Strawberry,47,4703
Wheat,42,2454
Corn,31,2455
Barley,48,3557
Orange,21,3860
Strawberry,27,4628
Mango,40,5891
Cotton,36,2990
Potato,45,3865
Apple,26,5827
Grapes,55,3112
Soybean,57,3539
Rice,60,4332
Banana,28,5610
Barley,57,5957
Corn,38,2368
Pineapple,29,3908
Strawberry,57,5980
Wheat,50,3939
Orange,29,5216
Cotton,53,5987
Mango,39,4127
Potato,53,5058
Strawberry,39,4837
Potato,49,2605
Apple,25,4480
Cotton,25,2155
Banana,47,2309
Wheat,38,5982
Orange,39,2545
Mango,49,2413
Barley,51,4821
Soybean,38,2432
Rice,35,5678
Strawberry,20,3402
Potato,38,3226
Corn,27,2750
Grapes,47,4686
Apple,59,5376
Orange,20,5079
Banana,26,5278
Soybean,38,4497
Rice,20,4032
Pineapple,24,2186
Barley,42,5258
Strawberry,47,3874
Cotton,44,2231
Mango,21,3042
Orange,58,2923
Corn,40,4698
Potato,43,4441
Strawberry,26,3667
Banana,52,2558
Wheat,21,5150
Barley,28,5565
Grapes,22,5635
Soybean,38,5462
Rice,32,5599
Pineapple,42,4594
Apple,38,2295
Grapes,56,5319
Orange,59,3006
Corn,53,3573
Strawberry,32,2326
Banana,43,4580
Barley,35,3086
Apple,45,5482
Pineapple,32,4928
Soybean,41,5676
Rice,40,2206
Orange,43,5668
Wheat,60,5780
Grapes,60,3044
Potato,45,3651
Cotton,34,5027
Strawberry,44,4992
Barley,32,4165
Pineapple,44,3309
Apple,40,5653
Rice,60,3810
Grapes,54,4516
Orange,58,3372
Banana,56,3616
Soybean,49,5669
Pineapple,41,5671
Banana,43,5053
Strawberry,34,4206
Orange,49,4424
Mango,44,4817
Barley,33,2004
Cotton,41,3408
Potato,30,2373
Apple,52,4599
Grapes,32,3427
Strawberry,35,4739
Banana,58,3165
Soybean,50,2826
Rice,28,4721
Pineapple,39,4292
Wheat,21,2340
Corn,51,2953
Barley,28,3829
Orange,49,4663
Strawberry,48,4308
Mango,22,2520
Cotton,23,2816
Potato,45,4406
Apple,34,3510
Grapes,54,4793
Soybean,32,4946
Rice,26,4493
Banana,47,4591
Barley,41,3476
Corn,20,5156
Pineapple,56,5306
Strawberry,36,5636
Wheat,30,5562
Orange,55,3051
Cotton,41,5023
Mango,49,4690
Potato,27,2728
Apple,50,3427
Grapes,44,5200
Barley,54,2298
Strawberry,40,3338
Corn,37,4724
Soybean,21,4257
Pineapple,52,5037
Banana,52,2486
Rice,46,2839
Orange,23,4324
Wheat,38,3035
Grapes,60,4863
Barley,48,4537
Potato,59,4505
Cotton,59,3300
Banana,50,4650
Wheat,43,4676
Apple,41,4464
Grapes,28,4040
Soybean,57,4294
Rice,24,2758
Strawberry,37,3413
Corn,27,5961
Potato,52,5350
Orange,25,3595
Banana,28,5375
Barley,28,4172
Mango,29,2669
Apple,48,3823
Grapes,29,3525
Strawberry,27,5615
Wheat,24,5702
Cotton,28,3991
Soybean,23,5588
Rice,40,4627
Pineapple,21,2579
Orange,21,5120
Wheat,23,2387
Wheat,22,3913
Wheat,38,3176
Wheat,35,4007
Wheat,49,2962
Wheat,54,3273
Corn,47,3714
Corn,48,5837
Corn,52,2650
Corn,32,5539
Corn,25,4347
Corn,28,2773
Rice,23,4823
Rice,57,3049
Rice,32,4421
Rice,33,4172
Rice,56,4149
Rice,52,4099
Soybean,26,2579
Soybean,44,5335
Soybean,24,4208
Soybean,27,2352
Soybean,43,3622
Soybean,32,2385
Cotton,40,2962
Cotton,52,5337
Cotton,59,3615
Cotton,42,2761
Cotton,41,5212
Cotton,47,4616
Barley,35,4028
Barley,34,3110
Barley,45,2058
Barley,22,3216
Barley,28,2865
Barley,60,3535
Potato,49,4034
Potato,38,4559
Potato,26,2272
Potato,29,5213
Potato,35,3855
Potato,20,4644
Apple,41,3935
Apple,54,4583
Apple,59,2218
Apple,43,4768
Orange,33,2973
Orange,50,3892
Orange,49,2306
Orange,23,5911
Orange,59,4260
Orange,55,4520
Grapes,54,3940
Grapes,21,4463
Grapes,55,4105
Grapes,30,3862
Grapes,59,4455
Grapes,31,4481
Strawberry,32,5042
Strawberry,33,2946
Strawberry,56,4771
Strawberry,56,4845
Strawberry,22,5090
Strawberry,52,5039
Banana,34,3744
Banana,55,4857
Banana,42,3308
Banana,21,5197
Mango,44,4222
Mango,51,5807
Mango,50,2598
Mango,20,4826
Pineapple,59,5426
Pineapple,20,2003
Rice,34,4448
Apple,38,3870
Corn,28,4544
Potato,28,2020
Grapes,39,5430
Strawberry,47,5387
Potato,40,3990
Barley,20,5892
Orange,30,3659
Banana,20,3707
Rice,31,4181
Soybean,44,4284
Strawberry,36,3177
Cotton,31,4565
Strawberry,34,4217
Strawberry,45,2490
Mango,31,5721
Rice,33,3892
Corn,50,5059
Grapes,58,2665
Apple,30,5864
Potato,31,4912
Strawberry,33,5240
Grapes,48,4299
Grapes,44,4998
Potato,60,5049
Soybean,44,2702
Wheat,73,7189
Wheat,91,6220
Wheat,61,7637
Wheat,67,7673
Wheat,98,7702
Wheat,85,8696
Corn,95,6721
Corn,100,8206
Corn,63,6703
Corn,86,9959
Corn,69,9216
Corn,84,6159
Rice,71,8744
Rice,62,9436
Rice,70,8766
Rice,65,8474
Rice,80,9100
Rice,74,7426
Soybean,83,8363
Soybean,91,8333
Soybean,84,9830
Soybean,97,8168
Soybean,63,8699
Soybean,76,9240
Cotton,98,9109
Cotton,63,8731
Cotton,87,7472
Cotton,92,7287
Cotton,64,8318
Cotton,62,8791
Barley,77,6926
Barley,69,9893
Barley,74,8685
Barley,74,7578
Barley,85,6842
Barley,67,8623
Potato,67,7907
Potato,88,8932
Potato,84,7750
Potato,83,8837
Potato,97,9137
Potato,94,6166
Apple,61,9560
Apple,96,9752
Apple,84,7458
Apple,64,7937
Orange,76,8091
Orange,92,9336
Orange,68,8583
Orange,83,7149
Orange,75,6676
Orange,72,7595
Grapes,64,9331
Grapes,76,7747
Grapes,83,9832
Grapes,75,9598
Grapes,63,9657
Grapes,97,7495
Strawberry,82,8632
Strawberry,99,9423
Strawberry,89,7145
Strawberry,96,7486
Strawberry,80,8795
Strawberry,80,8537
Banana,94,7448
Banana,97,8791
Banana,87,8994
Banana,91,7228
Mango,61,6803
Mango,64,6313
Mango,80,7311
Mango,80,9619
Pineapple,83,8014
Pineapple,92,7842
Rice,82,9326
Apple,78,8960
Corn,89,6299
Potato,82,6898
Grapes,75,6295
Strawberry,94,7264
Potato,61,9684
Barley,74,7475
Orange,91,9963
Banana,85,8888
Rice,87,7830
Soybean,71,8952
Strawberry,62,8043
Cotton,93,8025
Strawberry,83,8144
Strawberry,67,7736
Mango,63,9755
Rice,87,9073
Corn,94,9961
Grapes,96,7907
Apple,84,7806
Potato,73,8913
Strawberry,91,6541
Grapes,99,6549
Grapes,70,8052
Potato,64,8178
Soybean,88,6424
Apple,75,6043
Grapes,64,8195
Soybean,60,8367
Barley,76,7717
Wheat,81,6713
Strawberry,99,7586
Orange,63,6091
Grapes,73,6491
Banana,100,9137
Orange,63,9207
Corn,64,9298
Pineapple,61,9766
Wheat,82,9267
Potato,72,8302
Rice,100,8678
Orange,96,9566
Potato,74,6879
Mango,81,6702
Corn,64,7411
Orange,88,6986
Wheat,68,8703
Wheat,76,9736
Cotton,75,8481
Apple,82,9989
Mango,89,8428
Barley,87,8962
Cotton,78,6297
Pineapple,78,6463
Wheat,91,8679
Banana,73,8075
Banana,86,8213
Rice,79,6712
Pineapple,73,7292
Cotton,79,9705
Apple,62,8106
Strawberry,88,7353
Corn,90,6257
Barley,60,7050
Cotton,90,6494
Grapes,78,8505
Corn,93,7410
Barley,99,6430
Mango,97,6785
Potato,90,8223
Orange,76,9332
Orange,97,8950
Pineapple,81,8180
Corn,66,9824
Rice,87,8366
Potato,92,7821
Potato,62,6480
Cotton,73,6843
Potato,91,6391
Soybean,99,7415
Pineapple,71,9005
Rice,92,7773
Grapes,99,6495
Strawberry,65,8598
Cotton,99,9409
Wheat,81,7621
Soybean,79,6595
Strawberry,78,7182
Banana,96,9216
Barley,71,9253
Rice,96,6740
Orange,87,9705
Strawberry,98,6500
Corn,87,7183
Cotton,100,6671
Pineapple,74,8742
Wheat,69,9296
Soybean,83,7856
Mango,98,9303
Potato,98,7608
Grapes,70,9071
Banana,77,6851
Strawberry,90,6712
Apple,60,9351
Orange,67,6014
Cotton,81,8187
Pineapple,90,8379
Mango,79,9293
Barley,95,8375
Soybean,88,8542
Rice,87,8742
Potato,61,7018
Orange,79,9066
Banana,60,8003
Strawberry,74,6723
Grapes,61,8073
Wheat,88,8720
Cotton,92,8367
Pineapple,67,8199
Mango,87,9865
Apple,68,9425
Corn,70,8945
Soybean,84,9573
Barley,80,6712
Orange,97,9800
Strawberry,99,6892
Banana,81,8733
Grapes,83,9721
Potato,80,8850
Cotton,63,8738
Rice,71,9060
Apple,89,7631
Wheat,82,8980
Mango,93,8729
Pineapple,66,8950
Corn,93,8692
Soybean,67,9228
Strawberry,82,8704
Grapes,76,8908
Orange,61,6406
Barley,69,7908
Potato,93,9898
Cotton,71,9365
Banana,99,9350
Wheat,83,6235
Pineapple,84,9098
Strawberry,74,6499
Rice,77,9316
Soybean,73,8124
Mango,94,9776
Orange,86,9127
Cotton,63,6469
Barley,78,6165
Potato,83,7261
Apple,98,9661
Grapes,69,9868
Strawberry,89,8848
Corn,78,7180
Banana,94,9676
Pineapple,95,7443
Orange,88,7624
Barley,80,7714
Soybean,68,6880
Rice,71,6278
Wheat,96,6245
Mango,75,9739
Cotton,96,7982
Potato,61,7626
Apple,72,8258
Strawberry,81,9928
Orange,99,7178
Grapes,71,9803
Soybean,66,8799
Banana,82,9649
Corn,65,6062
Rice,72,9981
Barley,93,6238
Pineapple,64,7409
Strawberry,72,6481
Mango,70,7835
Barley,93,9464
Pineapple,60,9378
Strawberry,77,8798
Rice,84,7706
Banana,98,7330
Apple,91,6070
Grapes,60,7949
Orange,64,9100
Cotton,92,7104
Mango,79,8580
Soybean,98,9098
Corn,99,8189
Potato,68,8132
Barley,85,7371
Orange,60,7807
Wheat,75,7447
Strawberry,90,6247
Apple,85,7473
Pineapple,72,8011
Mango,80,9936
Cotton,88,8044
Banana,71,6225
Barley,63,7499
Grapes,94,8922
Strawberry,79,9490
Rice,60,6905
Corn,69,8311
Potato,73,8874
Orange,68,6209
Banana,64,7574
Soybean,60,6403
Apple,63,6260
Pineapple,82,6044
Strawberry,65,8906
Cotton,94,8576
Mango,75,8517
Barley,77,8944
Orange,80,7789
Potato,89,6286
Rice,78,8729
Apple,70,9357
Grapes,78,9804
Corn,66,8689
Soybean,82,9830
Pineapple,68,9029
Banana,61,6167
Strawberry,64,9550
Orange,94,6574
Mango,88,7552
Barley,69,8126
Cotton,72,7026
Potato,85,7279
Apple,96,8755
Grapes,100,6843
Strawberry,87,7820
Banana,75,8381
Soybean,64,9396
Rice,99,9394
Pineapple,87,6177
Wheat,92,8717
Corn,61,6495
Barley,95,6991
Orange,99,7125
Strawberry,82,6941
Mango,97,9241
Cotton,68,9157
Potato,77,8140
Apple,61,8733
Grapes,73,7676
Soybean,84,7547
Rice,84,9538
Banana,61,9513
Barley,69,6279
Corn,63,6369
Pineapple,97,8545
Strawberry,66,6376
Wheat,86,6688
Orange,62,8356
Cotton,84,8690
Mango,84,6725
Potato,75,6278
Apple,83,8531
Grapes,87,9010
Barley,99,8505
Strawberry,77,6485
Corn,89,9248
Soybean,82,6876
Pineapple,73,7245
Banana,74,7082
Rice,75,8789
Orange,98,6525
Wheat,81,7096
Grapes,80,9054
Barley,90,9943
Potato,71,6890
Cotton,81,9013
Banana,100,7401
Wheat,64,7822
Apple,72,8863
Grapes,86,6662
Soybean,80,6820
Rice,80,6483
Strawberry,85,6535
Corn,92,9059
Potato,64,9964
Orange,64,9685
Banana,73,7035
Barley,79,6521
Mango,89,7959
Apple,97,8589
Grapes,82,6534
Strawberry,64,7512
Wheat,73,8676
Cotton,76,6350
Soybean,70,8755
Rice,74,8377
Pineapple,86,7491
Orange,100,9934
Corn,81,6480
Potato,98,8239
Strawberry,100,8591
Banana,86,6573
Barley,87,8058
Apple,69,6395
Grapes,83,9147
Orange,63,8231
Wheat,63,8297
Corn,90,6754
Soybean,91,8931
Pineapple,84,8011
Banana,70,9645
Strawberry,63,7573
Potato,74,7962
Cotton,73,9046
Rice,74,6123
Apple,79,6249
Grapes,66,7791
Soybean,76,9629
Mango,78,7300
Orange,69,6232
Pineapple,96,8307
Corn,69,7238
Barley,84,7422
Wheat,92,9549
Banana,64,8576
Apple,97,9097
Grapes,61,8406
Soybean,86,7669
Orange,81,8959
Corn,95,7962
Potato,98,6047
Strawberry,61,6165
Mango,82,7803
Cotton,91,6490
Barley,95,7566
Apple,86,7475
Pineapple,61,7935
Orange,62,7041
Rice,91,9643
Grapes,82,8516
Banana,64,7346
Strawberry,96,8364
Wheat,87,8898
Corn,93,6846
Barley,89,6553
Orange,99,8364
Strawberry,67,8908
Mango,76,9332
Cotton,98,6590
Potato,92,7161
Apple,68,7422
Grapes,88,8603
Soybean,79,6866
Rice,84,8796
Banana,98,7901
Barley,79,7480
Corn,65,8977
Pineapple,60,7614
Strawberry,93,6918
Wheat,74,6605
Orange,96,7992
Cotton,91,6609
Mango,91,7479
Potato,83,9908
